time,ticks,degrees
4.399999999998849e-05,9272,9272
0.05007099999999999,1997,1997
0.100094,15390,15390
0.150117,12413,12413
0.20013400000000003,9325,9325
0.250153,6105,6105
0.300173,2887,2887
0.350192,15925,15925
0.400207,12443,12443
0.450224,9051,9051
0.5002439999999999,5632,5632
0.55026,2123,2123
0.6002759999999999,14890,14890
0.6502929999999999,11122,11122
0.7003119999999999,7462,7462
0.7503369999999999,3922,3922
0.800356,322,322
0.8503759999999999,12781,12781
0.900396,9061,9061
0.950417,5372,5372
1.000437,1822,1822
1.0504600000000002,14210,14210
1.100482,10153,10153
1.150501,6062,6062
1.2005210000000002,1905,1905
1.250539,13876,13876
1.3005630000000001,9541,9541
1.3505800000000001,5199,5199
1.400598,874,874
1.450615,12636,12636
1.500631,8087,8087
1.550647,3604,3604
1.600664,15295,15295
1.6506800000000001,10559,10559
1.7007020000000002,5862,5862
1.75072,1224,1224
1.800735,12682,12682
1.850752,7848,7848
1.9007690000000002,3127,3127
1.950796,14004,14004
2.000818,9290,9290
2.050839,5031,5031
2.1008590000000003,1121,1121
2.150883,13555,13555
2.200902,9931,9931
2.250919,6553,6553
2.3009370000000002,3502,3502
2.350955,440,440
2.400973,13888,13888
2.450989,11201,11201
2.501007,8572,8572
2.551031,5985,5985
2.601051,3608,3608
2.6510700000000003,1368,1368
2.701089,15321,15321
2.751106,13055,13055
2.801124,10923,10923
2.851143,8846,8846
2.901161,7531,7531
2.951175,5505,5505
3.001193,3405,3405
3.051211,1223,1223
3.10123,15202,15202
3.15125,12769,12769
3.2012680000000002,10363,10363
3.251288,7939,7939
3.301305,5438,5438
3.351324,3001,3001
3.401342,347,347
3.451361,14047,14047
3.50138,11329,11329
3.551399,8646,8646
3.601417,6005,6005
3.651436,3283,3283
3.701454,625,625
3.75148,14120,14120
3.801498,11272,11272
3.851515,8947,8947
3.901529,6078,6078
3.951555,3101,3101
4.001572,11,11
4.051588,13164,13164
4.101605,9791,9791
4.151623,6502,6502
4.20164,3239,3239
4.251663,16141,16141
4.3016820000000004,12441,12441
4.351702,8850,8850
4.401722,5205,5205
4.451749,1596,1596
4.501767,14188,14188
4.5517840000000005,10496,10496
4.601802,6844,6844
4.65182,3198,3198
4.701839,15737,15737
4.751857,11782,11782
4.801876,8326,8326
4.851897,4504,4504
4.901915,510,510
4.9519340000000005,12654,12654
5.001952,8429,8429
5.051969,4263,4263
5.101987,16331,16331
5.152007,11706,11706
5.202023,7212,7212
5.252042,2477,2477
5.302062,14179,14179
5.352079,9516,9516
5.402099,4974,4974
5.4521180000000005,374,374
5.502136,11900,11900
5.552155,7020,7020
5.602175,2390,2390
5.652192,14026,14026
5.70221,9190,9190
5.752231,4585,4585
5.802251,16372,16372
5.852271,11914,11914
5.902291,7792,7792
5.95231,4080,4080
6.002328,518,518
6.052346,13431,13431
6.102368,10284,10284
6.152385,7219,7219
6.202403,4425,4425
6.252422,1717,1717
6.30244,15410,15410
6.352458,12838,12838
6.402475,10442,10442
6.4524930000000005,8106,8106
6.50251,5854,5854
6.55253,3765,3765
6.602549,1613,1613
6.652567,15971,15971
6.702597,14933,14933
6.752617,12954,12954
6.802635,10756,10756
6.852654,8470,8470
6.902671,6165,6165
6.9526900000000005,3908,3908
7.002708,1475,1475
7.052728,15283,15283
7.102747,12562,12562
7.1527650000000005,9780,9780
7.202783,7156,7156
7.2528,4570,4570
7.302816,2038,2038
7.352834,15717,15717
7.402853,12852,12852
7.452872,10076,10076
7.502889,7304,7304
7.552908,4650,4650
7.602927,2003,2003
7.652947,16339,16339
7.702968,14101,14101
7.752988,15009,15009
7.803006,2790,2790
7.853023,9859,9859
7.903042,3724,3724
7.953060000000001,522,522
8.003078,163,163
8.053098,2669,2669
8.103118,7884,7884
8.153138,16106,16106
8.203156,10566,10566
8.253175,7826,7826
8.303201,6845,6845
8.353219,6906,6906
8.403237,6906,6906
8.453256,6907,6907
8.503273,6904,6904
8.553291,6905,6905
8.603309,6904,6904
8.653323,6906,6906
8.703343,6903,6903
8.753363,6908,6908
8.803381,6906,6906
8.853399,6906,6906
8.903418,6906,6906
8.953438,6905,6905
9.003456,6906,6906
9.053473,6906,6906
9.103492,6906,6906
9.15351,6904,6904
9.20353,6908,6908
9.253549,6903,6903
9.303568,6907,6907
9.353588,6905,6905
9.403607000000001,6905,6905
9.453625,6906,6906
9.503643,6908,6908
9.553662,6906,6906
9.603681,6905,6905
9.653702000000001,6903,6903
9.703722,6907,6907
9.75374,6906,6906
9.803758,6905,6905
9.853776,6903,6903
9.903794,6905,6905
9.953813,6907,6907
10.003832000000001,6903,6903
