time,ticks,degrees
3.299999999999137e-05,11743,11743
0.005067000000000002,7171,7171
0.010095999999999994,2730,2730
0.015118999999999994,14403,14403
0.020141999999999993,9722,9722
0.025165999999999994,5197,5197
0.030198000000000003,661,661
0.035221,12342,12342
0.040241,7682,7682
0.045263,3087,3087
0.05028199999999999,14919,14919
0.05530099999999999,10209,10209
0.060318999999999984,5608,5608
0.06533800000000001,1090,1090
0.070358,12765,12765
0.075376,8101,8101
0.080394,3613,3613
0.08541199999999999,15272,15272
0.09043499999999999,10601,10601
0.095466,5993,5993
0.10053599999999999,1477,1477
0.10555300000000001,13223,13223
0.110571,8614,8614
0.115591,4045,4045
0.12060699999999999,15867,15867
0.125625,11104,11104
0.130642,6476,6476
0.135661,2027,2027
0.140676,13653,13653
0.14568899999999999,9102,9102
0.150709,4510,4510
0.155726,16367,16367
0.160744,11654,11654
0.165772,7004,7004
0.170787,2547,2547
0.17580700000000002,14261,14261
0.18082099999999998,9628,9628
0.185835,5151,5151
0.19085300000000002,597,597
0.195869,12190,12190
0.200896,7515,7515
0.20590899999999998,3108,3108
0.210923,14851,14851
0.21593900000000002,10194,10194
0.22095299999999998,5642,5642
0.22596599999999997,1103,1103
0.23098,12699,12699
0.235992,8081,8081
0.241009,3582,3582
0.24602500000000002,15360,15360
0.251038,10606,10606
0.256054,6111,6111
0.261066,1584,1584
0.266088,13251,13251
0.271103,8692,8692
0.27611600000000003,4170,4170
0.28113299999999997,15922,15922
0.28614700000000004,11205,11205
0.291161,6630,6630
0.296177,2104,2104
0.301192,13783,13783
0.30621200000000004,9087,9087
0.311225,4547,4547
0.316238,9,9
0.32125499999999996,11600,11600
0.32626999999999995,7003,7003
0.331284,2598,2598
0.33630000000000004,14167,14167
0.341314,9529,9529
0.34633099999999994,4974,4974
0.351348,399,399
0.356363,12116,12116
0.361382,7431,7431
0.366395,2892,2892
0.37141599999999997,14676,14676
0.37643099999999996,10016,10016
0.381444,5453,5453
0.38646199999999997,972,972
0.39147600000000005,12276,12276
0.39649100000000004,7657,7657
0.40150699999999995,3103,3103
0.40651899999999996,14835,14835
0.411536,10097,10097
0.416551,5534,5534
0.421563,982,982
0.42657900000000004,3721,3721
0.4316,15428,15428
0.436627,10675,10675
0.441643,6114,6114
0.44665699999999997,1660,1660
0.45167500000000005,13277,13277
0.45669000000000004,8673,8673
0.4617220000000001,4171,4171
0.46673700000000007,15953,15953
0.47175,11275,11275
0.47676700000000005,6737,6737
0.481781,2251,2251
0.48679400000000006,14061,14061
0.491811,9417,9417
0.49682500000000007,4861,4861
0.5018440000000001,486,486
0.50686,12205,12205
0.511873,7602,7602
0.5168900000000001,3132,3132
0.521906,14885,14885
0.526922,10305,10305
0.531938,5770,5770
0.536957,1328,1328
0.541971,13087,13087
0.546984,8630,8630
0.552003,4148,4148
0.5570200000000001,16082,16082
0.562041,11348,11348
0.56706,6878,6878
0.572072,2594,2594
0.5770890000000001,14426,14426
0.5821040000000001,9847,9847
0.587122,5354,5354
0.592139,943,943
0.597155,12810,12810
0.602176,8328,8328
0.60719,3896,3896
0.612204,15785,15785
0.617222,11227,11227
0.6222380000000001,6676,6676
0.627264,2373,2373
0.632279,14294,14294
0.637292,9818,9818
0.64231,5428,5428
0.647327,1121,1121
0.6523450000000001,12824,12824
0.657362,8382,8382
0.6623760000000001,4045,4045
0.6673950000000001,15978,15978
0.6724140000000001,11388,11388
0.6774290000000001,6988,6988
0.682448,2648,2648
0.687463,14491,14491
0.692484,9973,9973
0.697508,5612,5612
0.702523,1346,1346
0.7075440000000001,13143,13143
0.712558,8797,8797
0.7175710000000001,4410,4410
0.722587,22,22
0.727603,11830,11830
0.732624,7449,7449
0.737638,3122,3122
0.7426510000000001,15027,15027
0.747668,10512,10512
0.7526860000000001,6171,6171
0.757706,1868,1868
0.762723,13781,13781
0.767737,9324,9324
0.772755,5005,5005
0.777772,749,749
0.782787,12581,12581
0.7878040000000001,8208,8208
0.792819,3874,3874
0.797842,15864,15864
0.802861,11402,11402
0.807876,7001,7001
0.812893,2718,2718
0.8179080000000001,14627,14627
0.822928,10231,10231
0.827952,5860,5860
0.832966,1651,1651
0.8379840000000001,13580,13580
0.842999,9215,9215
0.848012,4870,4870
0.8530300000000001,572,572
0.858048,12434,12434
0.863074,8088,8088
0.86809,3850,3850
0.873104,15934,15934
0.878123,11432,11432
0.88314,7118,7118
0.888161,2859,2859
0.893177,14802,14802
0.898192,10418,10418
0.9032100000000001,6074,6074
0.908231,1823,1823
0.913247,13788,13788
0.9182640000000001,9382,9382
0.9232790000000001,5059,5059
0.928317,791,791
0.933334,12808,12808
0.938349,8480,8480
0.943367,4188,4188
0.948382,16319,16319
0.9533999999999999,11773,11773
0.958428,7405,7405
0.9634440000000001,3221,3221
0.968465,15210,15210
0.973483,10828,10828
0.9784970000000001,6498,6498
0.983515,2331,2331
0.9885320000000001,14271,14271
0.9935889999999999,9749,9749
0.998603,5555,5555
1.0036159999999998,1391,1391
1.0086339999999998,13362,13362
1.0136509999999999,9048,9048
1.0186659999999998,4816,4816
1.023683,623,623
1.028697,12533,12533
1.0337159999999999,8234,8234
1.038733,3912,3912
1.043748,16041,16041
1.0487689999999998,11652,11652
1.053783,7307,7307
1.058803,3087,3087
1.0638319999999999,15090,15090
1.068848,10734,10734
1.0738679999999998,6543,6543
1.078882,2339,2339
1.0838949999999998,14298,14298
1.088913,9973,9973
1.0939299999999998,5620,5620
1.098954,1472,1472
1.103966,13526,13526
1.108978,9232,9232
1.113996,5010,5010
1.119012,842,842
1.124031,12774,12774
1.1290499999999999,8425,8425
1.134064,4170,4170
1.1390969999999998,16280,16280
1.14411,11960,11960
1.149125,7628,7628
1.154142,3468,3468
1.159158,15584,15584
1.1641869999999999,11099,11099
1.169204,6915,6915
1.174219,2779,2779
1.179236,14781,14781
1.184254,10453,10453
1.1892719999999999,1297,1297
1.1942929999999998,13301,13301
1.199315,8959,8959
1.2043389999999998,4758,4758
1.209357,585,585
1.214373,12523,12523
1.2193939999999999,8179,8179
1.224413,3937,3937
1.22943,16087,16087
1.2344469999999998,11644,11644
1.239463,7375,7375
1.244483,3159,3159
1.249501,15171,15171
1.2545169999999999,10815,10815
1.259536,6566,6566
1.264551,2416,2416
1.2695699999999999,14378,14378
1.2746009999999999,9926,9926
1.2796159999999999,5740,5740
1.2846339999999998,1528,1528
1.2896489999999998,13447,13447
1.294663,9136,9136
1.2996809999999999,4842,4842
1.304697,587,587
1.3097219999999998,12493,12493
1.314736,8253,8253
1.319748,4040,4040
1.324765,16108,16108
1.32978,11704,11704
1.3347989999999998,7409,7409
1.339816,3165,3165
1.34483,15227,15227
1.349848,10778,10778
1.354866,6447,6447
1.359881,2277,2277
1.3649,14335,14335
1.369915,9930,9930
1.374935,5599,5599
1.379953,1421,1421
1.3849669999999998,13384,13384
1.3899819999999998,9118,9118
1.3949969999999998,4800,4800
1.40001,526,526
1.4050239999999998,12474,12474
1.41004,8021,8021
1.415057,3868,3868
1.42007,15900,15900
1.425085,11420,11420
1.4301039999999998,7051,7051
1.4351209999999999,2866,2866
1.4401439999999999,14815,14815
1.4451589999999999,10433,10433
1.450172,6153,6153
1.4551919999999998,1905,1905
1.4602089999999999,13866,13866
1.465223,9458,9458
1.470238,5122,5122
1.4752509999999999,912,912
1.48027,12785,12785
1.485285,8447,8447
1.4903,4203,4203
1.4953159999999999,16315,16315
1.500329,11811,11811
1.505342,7549,7549
1.5103719999999998,3216,3216
1.515388,15312,15312
1.520405,10897,10897
1.5254189999999999,6534,6534
1.530432,2341,2341
1.5354489999999998,14310,14310
1.540466,9941,9941
1.545496,5525,5525
1.550509,1382,1382
1.5555219999999998,13255,13255
1.560539,8777,8777
1.5655569999999999,4510,4510
1.570571,254,254
1.5755869999999998,12184,12184
1.5806,7844,7844
1.5856169999999998,3611,3611
1.590635,15664,15664
1.5956489999999999,11165,11165
1.6006669999999998,6910,6910
1.605681,2640,2640
1.6107,14558,14558
1.6157249999999999,10167,10167
1.6207399999999998,5805,5805
1.625757,1541,1541
1.6307719999999999,13469,13469
1.6357849999999998,9045,9045
1.640801,4700,4700
1.6458169999999999,386,386
1.650834,12242,12242
1.6558469999999998,7953,7953
1.6608589999999999,3711,3711
1.665876,15832,15832
1.670895,11325,11325
1.675911,6932,6932
1.6809269999999998,2662,2662
1.68594,14566,14566
1.690958,10110,10110
1.695976,5740,5740
1.7009919999999998,1527,1527
1.7060089999999999,13326,13326
1.711023,8896,8896
1.716043,4612,4612
1.721063,287,287
1.7260769999999999,12135,12135
1.731096,7657,7657
1.7361099999999998,3360,3360
1.7411249999999998,15380,15380
1.7461479999999998,10883,10883
1.7511629999999998,6499,6499
1.756182,2164,2164
1.7611949999999998,14104,14104
1.766209,9726,9726
1.771224,5418,5418
1.7762399999999998,1125,1125
1.781259,12973,12973
1.7862719999999999,8606,8606
1.791286,4328,4328
1.796303,43,43
1.801318,11890,11890
1.806333,7475,7475
1.811348,3241,3241
1.816363,15245,15245
1.821381,10812,10812
1.826395,6427,6427
1.831408,2273,2273
1.8364239999999998,14151,14151
1.8414389999999998,9699,9699
1.846463,5329,5329
1.85148,1161,1161
1.8564939999999999,13069,13069
1.861514,8632,8632
1.8665269999999998,4352,4352
1.87154,16377,16377
1.876569,11777,11777
1.881584,7488,7488
1.886601,3189,3189
1.891616,15122,15122
1.896631,10627,10627
1.901646,6306,6306
1.9066619999999999,2020,2020
1.911684,13888,13888
1.916698,9254,9254
1.92171,4949,4949
1.9267279999999998,632,632
1.9317449999999998,12537,12537
1.9367579999999998,8166,8166
1.9417740000000001,3838,3838
1.9467879999999997,15760,15760
1.9518049999999998,6326,6326
1.956832,2107,2107
1.9618509999999998,14032,14032
1.966872,9635,9635
1.9718909999999998,5256,5256
1.9769069999999997,1006,1006
1.9819269999999998,12898,12898
1.986946,8512,8512
1.9919759999999997,4153,4153
1.996994,16213,16213
2.002013,11724,11724
2.007031,7347,7347
2.012048,3153,3153
2.017063,15117,15117
2.022081,10663,10663
2.027096,6308,6308
2.032118,2123,2123
2.037137,13956,13956
2.042153,9537,9537
2.047171,5069,5069
2.052186,786,786
2.057203,12588,12588
2.062235,8112,8112
2.06725,3809,3809
2.072266,15747,15747
2.0772809999999997,11244,11244
2.082296,6800,6800
2.087313,2471,2471
2.092329,14371,14371
2.0973539999999997,9857,9857
2.102368,5492,5492
2.1073809999999997,1216,1216
2.112399,13001,13001
2.117416,8506,8506
2.122432,4176,4176
2.127449,16125,16125
2.132463,11596,11596
2.1374809999999997,7124,7124
2.142496,2837,2837
2.14751,14813,14813
2.152527,10203,10203
2.15754,5824,5824
2.162566,1409,1409
2.167583,13312,13312
2.1726,8875,8875
2.177617,4513,4513
2.182633,96,96
2.187648,11868,11868
2.1926639999999997,7373,7373
2.1976809999999998,3068,3068
2.2027,14917,14917
2.207716,10354,10354
2.212729,5965,5965
2.217747,1669,1669
2.222762,13504,13504
2.227793,8919,8919
2.232809,4610,4610
2.237823,258,258
2.242841,12015,12015
2.247858,7506,7506
2.252872,3185,3185
2.257888,15030,15030
2.262901,10520,10520
2.267918,6053,6053
2.272936,1682,1682
2.277949,13512,13512
2.282965,9043,9043
2.28798,4662,4662
2.2929939999999998,234,234
2.298012,12049,12049
2.3030269999999997,7533,7533
2.308042,3203,3203
2.313058,15107,15107
2.318073,10456,10456
2.323088,6109,6109
2.328103,1731,1731
2.333125,13488,13488
2.338141,9013,9013
2.3431539999999997,4563,4563
2.348172,118,118
2.35319,11863,11863
2.358208,7340,7340
2.363226,3011,3011
2.368241,14896,14896
2.373261,10312,10312
2.378278,5831,5831
2.383292,1504,1504
2.388309,13253,13253
2.393325,8709,8709
2.398347,4261,4261
2.403364,16239,16239
2.408381,11596,11596
2.413401,7141,7141
2.418417,2751,2751
2.423434,14542,14542
2.428476,9972,9972
2.4334919999999998,5612,5612
2.438511,1277,1277
2.443527,13013,13013
2.448541,8464,8464
2.453561,4019,4019
2.458577,15973,15973
2.463605,11334,11334
2.468622,6881,6881
2.473637,2552,2552
2.478658,14396,14396
2.483675,9822,9822
2.488689,5337,5337
2.493705,924,924
2.49872,12715,12715
2.50374,8162,8162
2.508758,3726,3726
2.513772,15649,15649
2.51879,11081,11081
2.523805,6638,6638
2.528838,2241,2241
2.533864,14063,14063
2.538878,9496,9496
2.543898,5074,5074
2.5489129999999998,710,710
2.553924,12496,12496
2.558939,8010,8010
2.563955,3571,3571
2.569009,15343,15343
2.574023,10848,10848
2.579037,6408,6408
2.584056,1941,1941
2.589073,13750,13750
2.594096,9187,9187
2.599113,4769,4769
2.6041279999999998,314,314
2.609147,12032,12032
2.614166,7548,7548
2.619209,3066,3066
2.6242259999999997,14930,14930
2.629242,10388,10388
2.634261,5823,5823
2.6392789999999997,1415,1415
2.644292,13206,13206
2.649311,8572,8572
2.6543259999999997,4173,4173
2.659341,15987,15987
2.664371,11267,11267
2.669386,6871,6871
2.674401,2465,2465
2.679416,14226,14226
2.68443,9643,9643
2.689446,5084,5084
2.694463,710,710
2.6994819999999997,12491,12491
2.704496,7931,7931
2.70951,3614,3614
2.7145259999999998,9569,9569
2.7195489999999998,5072,5072
2.724571,693,693
2.729591,12400,12400
2.734606,7895,7895
