time,ticks,degrees
2.6999999999999247e-05,9659,9659
0.005052000000000001,8430,8430
0.010089,7143,7143
0.015107999999999996,5934,5934
0.02012599999999999,4718,4718
0.025149000000000005,3483,3483
0.030171000000000003,2267,2267
0.035186999999999996,1033,1033
0.040204000000000004,16128,16128
0.045218999999999995,14784,14784
0.050237000000000004,13492,13492
0.055253,12192,12192
0.060265999999999986,10960,10960
0.065281,9776,9776
0.070295,8522,8522
0.07531399999999999,7252,7252
0.08033099999999999,6008,6008
0.085344,4780,4780
0.090361,3540,3540
0.09537499999999999,2330,2330
0.100389,1080,1080
0.105404,16165,16165
0.11041899999999999,14831,14831
0.11543699999999998,13511,13511
0.120451,12217,12217
0.125465,10922,10922
0.13048099999999999,9705,9705
0.135496,8432,8432
0.14052599999999998,7131,7131
0.145541,5888,5888
0.150553,4646,4646
0.155572,3379,3379
0.160589,2153,2153
0.165604,877,877
0.170621,15942,15942
0.17563399999999998,14588,14588
0.180661,13284,13284
0.185679,5758,5758
0.190692,4533,4533
0.19572199999999998,3237,3237
0.20074,2027,2027
0.20575600000000002,797,797
0.21077700000000002,15895,15895
0.215795,14577,14577
0.22082,13342,13342
0.22583699999999998,12083,12083
0.230851,10907,10907
0.23587,9765,9765
0.240889,8585,8585
0.24590399999999998,7383,7383
0.25092000000000003,6222,6222
0.25593299999999997,5091,5091
0.260953,3942,3942
0.26597099999999996,2813,2813
0.27098500000000003,1719,1719
0.27600199999999997,554,554
0.28101600000000004,15786,15786
0.28603,14576,14576
0.29105800000000004,13404,13404
0.296072,12266,12266
0.30108999999999997,11153,11153
0.306103,10095,10095
0.311118,9042,9042
0.31615099999999996,7947,7947
0.32116500000000003,6869,6869
0.32618400000000003,5799,5799
0.33119699999999996,4756,4756
0.336209,3719,3719
0.34122699999999995,2706,2706
0.346244,1657,1657
0.351274,591,591
0.35628800000000005,15939,15939
0.361302,14840,14840
0.36632,13761,13761
0.371336,12716,12716
0.37634999999999996,11649,11649
0.38136499999999995,10673,10673
0.386378,9703,9703
0.391397,8688,8688
0.396417,7700,7700
0.40142999999999995,6688,6688
0.40644800000000003,5712,5712
0.41146099999999997,4738,4738
0.41647599999999996,3757,3757
0.421501,2783,2783
0.426515,1841,1841
0.43153300000000006,855,855
0.436547,16255,16255
0.441562,15239,15239
0.446577,14210,14210
0.451592,13213,13213
0.45662,12202,12202
0.461635,11252,11252
0.46664800000000006,10339,10339
0.471665,9411,9411
0.47668,8461,8461
0.48169300000000004,7497,7497
0.48670900000000006,6535,6535
0.4917210000000001,5612,5612
0.496738,4688,4688
0.501752,3752,3752
0.506766,2840,2840
0.511783,1929,1929
0.516796,1005,1005
0.521814,67,67
0.526835,15497,15497
0.531848,14517,14517
0.5368660000000001,13573,13573
0.541879,12634,12634
0.5468930000000001,11687,11687
0.5519120000000001,10805,10805
0.556928,9920,9920
0.561952,8988,8988
0.5669660000000001,8102,8102
0.571984,7178,7178
0.577002,6265,6265
0.582018,5380,5380
0.587032,4513,4513
0.592048,3602,3602
0.5970610000000001,2748,2748
0.6020800000000001,1870,1870
0.607097,956,956
0.61211,63,63
0.617128,15529,15529
0.622141,14590,14590
0.6271680000000001,13678,13678
0.63219,12776,12776
0.637204,11880,11880
0.642221,11008,11008
0.647234,10168,10168
0.652248,9292,9292
0.6572640000000001,8402,8402
0.662278,7530,7530
0.667304,6623,6623
0.672317,5765,5765
0.677334,4938,4938
0.682357,4065,4065
0.687373,3204,3204
0.692389,2385,2385
0.697404,1527,1527
0.7024170000000001,647,647
0.707437,16179,16179
0.712453,15277,15277
0.71747,14363,14363
0.722487,13486,13486
0.7275,12609,12609
0.732522,11728,11728
0.73754,10898,10898
0.742553,10092,10092
0.747571,9261,9261
0.752584,8395,8395
0.7575970000000001,7528,7528
0.762613,6643,6643
0.767628,5804,5804
0.772646,4980,4980
0.777659,4134,4134
0.782675,3303,3303
0.7876920000000001,2489,2489
0.7927080000000001,1630,1630
0.7977270000000001,786,786
0.8027420000000001,16338,16338
0.807755,15466,15466
0.812772,14555,14555
0.817789,13688,13688
0.8228030000000001,12819,12819
0.827818,11935,11935
0.832832,11105,11105
0.83785,10312,10312
0.842867,9501,9501
0.8478800000000001,8648,8648
0.852898,7818,7818
0.857911,6958,6958
0.862924,6122,6122
0.867939,5324,5324
0.872955,4499,4499
0.877973,3650,3650
0.8829870000000001,2856,2856
0.888003,2033,2033
0.893019,1174,1174
0.898035,335,335
0.903058,15863,15863
0.908072,14982,14982
0.913084,14108,14108
0.9181010000000001,13261,13261
0.923118,12393,12393
0.9281320000000001,11544,11544
0.933148,10746,10746
0.938162,9942,9942
0.94318,9118,9118
0.9481959999999999,8274,8274
0.95321,3628,3628
0.958228,2841,2841
0.9632520000000001,2005,2005
0.9682689999999999,1143,1143
0.9732850000000001,283,283
0.978303,15775,15775
0.9833200000000001,14812,14812
0.9883449999999999,13882,13882
0.993359,12960,12960
0.998371,12023,12023
1.003391,11096,11096
1.0084069999999998,10214,10214
1.013423,9283,9283
1.018438,8349,8349
1.0234519999999998,7405,7405
1.028471,6443,6443
1.033488,5488,5488
1.0385019999999998,4540,4540
1.0435189999999999,3572,3572
1.048533,2629,2629
1.0535599999999998,1626,1626
1.0585769999999999,633,633
1.063591,16005,16005
1.068608,14920,14920
1.0736249999999998,13866,13866
1.078639,12808,12808
1.0836549999999998,11743,11743
1.088671,10738,10738
1.0936899999999998,9730,9730
1.098704,8697,8697
1.103719,7635,7635
1.108738,6556,6556
1.1137549999999998,5518,5518
1.1187859999999998,4445,4445
1.123802,3390,3390
1.1288159999999998,2368,2368
1.133834,1297,1297
1.13885,207,207
1.143867,15466,15466
1.148882,14316,14316
1.1538959999999998,13206,13206
1.1589129999999999,12095,12095
1.1639309999999998,10986,10986
1.168945,9925,9925
1.1739609999999998,8820,8820
1.1789749999999999,7704,7704
1.183997,6575,6575
1.189015,5474,5474
1.194029,4364,4364
1.199047,3258,3258
1.2040609999999998,2146,2146
1.2090759999999998,993,993
1.214092,16198,16198
1.219107,14979,14979
1.2241229999999999,13782,13782
1.229137,12603,12603
1.2341499999999999,11423,11423
1.239167,10290,10290
1.2441829999999998,9140,9140
1.249207,7955,7955
1.254222,6775,6775
